,gameID,homeTeamID,visitorTeamID,homeTeamHeightAverage,homeTeamWeightAverage,homeTeamAgeAverage,visitorTeamHeightAverage,visitorTeamWeightAverage,visitorTeamAgeAverage,homeTeamWin
0,1.0,2.0,23.0,199.39,102.62518999999999,26.416666666666668,200.26923076923077,96.44063753846154,25.153846153846153,1.0
1,2.0,10.0,21.0,201.44153846153847,97.9060886153846,28.0,199.87846153846155,97.69673846153844,25.692307692307693,1.0
2,3.0,4.0,17.0,201.05076923076925,99.3017563076923,26.846153846153847,201.05076923076922,100.94166584615384,26.692307692307693,0.0
3,4.0,9.0,3.0,198.96666666666667,100.24383200000001,27.466666666666665,201.71833333333333,98.65626000000002,25.166666666666668,1.0
4,5.0,12.0,15.0,199.68307692307692,97.20825476923076,26.46153846153846,201.8323076923077,99.51110646153847,27.692307692307693,1.0
5,6.0,22.0,16.0,201.63692307692313,97.24314646153849,25.46153846153846,200.65999999999997,99.26686461538462,28.23076923076923,1.0
6,7.0,20.0,1.0,200.23666666666665,99.41224666666665,25.5,199.6830769230769,96.75466276923075,26.0,1.0
7,8.0,28.0,6.0,199.48769230769227,100.90677415384617,27.53846153846154,201.24615384615387,99.68556492307692,28.076923076923077,1.0
8,9.0,11.0,19.0,199.898,98.38410479999999,28.6,200.26923076923077,100.10426523076923,25.923076923076923,0.0
9,10.0,27.0,18.0,203.00461538461542,102.0582,28.923076923076923,201.74857142857144,101.2806137142857,27.428571428571427,1.0
10,11.0,26.0,29.0,199.39,97.06868800000001,24.75,200.85538461538465,101.15101600000001,27.307692307692307,0.0
11,12.0,13.0,8.0,200.26923076923077,97.90608861538462,28.076923076923077,202.61384615384617,100.03448184615384,25.153846153846153,0.0
12,13.0,24.0,7.0,203.00461538461542,98.91794769230768,25.615384615384617,201.05076923076925,98.49924738461537,27.615384615384617,1.0
13,14.0,23.0,5.0,200.26923076923077,96.44063753846154,25.153846153846153,198.12,97.14428666666667,24.25,1.0
14,15.0,30.0,16.0,202.41846153846157,99.58088984615384,26.923076923076923,200.65999999999997,99.26686461538462,28.23076923076923,0.0
15,16.0,25.0,14.0,202.0276923076923,99.96469846153846,25.692307692307693,202.22307692307692,98.25500553846155,25.692307692307693,1.0
16,17.0,22.0,4.0,201.63692307692307,97.24314646153844,25.46153846153846,201.05076923076928,99.3017563076923,26.846153846153847,0.0
17,18.0,3.0,20.0,201.44153846153844,98.46435569230769,25.307692307692307,201.93000000000004,100.73522333333335,24.666666666666668,1.0
18,19.0,28.0,2.0,199.48769230769227,100.90677415384616,27.53846153846154,199.39,102.62518999999998,26.416666666666668,1.0
19,20.0,18.0,6.0,200.8553846153846,100.66253230769232,27.846153846153847,201.44153846153847,100.38339876923077,28.307692307692307,1.0
20,21.0,19.0,26.0,199.0969230769231,98.70859753846155,26.23076923076923,199.39,97.06868800000001,24.75,1.0
21,22.0,17.0,12.0,201.05076923076922,100.94166584615384,26.692307692307693,199.48769230769233,96.75466276923076,26.53846153846154,1.0
22,23.0,29.0,10.0,200.8553846153846,101.15101600000001,27.307692307692307,201.44153846153844,97.73163015384617,27.307692307692307,0.0
23,24.0,15.0,1.0,201.05076923076922,99.26686461538462,27.846153846153847,199.68307692307692,96.75466276923076,26.0,1.0
24,25.0,13.0,21.0,200.26923076923077,98.11543876923078,28.846153846153847,199.87846153846155,97.69673846153847,25.692307692307693,1.0
25,26.0,12.0,3.0,199.29230769230773,97.10357969230768,26.307692307692307,201.92999999999998,98.16486866666668,25.333333333333332,1.0
26,27.0,30.0,28.0,202.41846153846151,99.58088984615385,26.923076923076923,198.90153846153845,100.2089403076923,27.307692307692307,0.0
27,28.0,20.0,2.0,201.93000000000004,100.73522333333331,24.666666666666668,199.8133333333334,103.19218000000001,25.75,0.0
28,29.0,23.0,22.0,200.26923076923077,96.44063753846154,25.153846153846153,201.6369230769231,97.41760492307692,24.923076923076923,1.0
29,30.0,16.0,4.0,200.65999999999997,99.26686461538462,28.23076923076923,200.0738461538462,98.0456553846154,26.923076923076923,0.0
30,31.0,5.0,9.0,201.12181818181816,101.0273090909091,24.818181818181817,198.70615384615388,101.43014953846154,27.384615384615383,0.0
31,32.0,7.0,18.0,201.05076923076925,98.49924738461537,26.615384615384617,200.26923076923077,100.45318215384617,27.846153846153847,1.0
32,33.0,8.0,24.0,202.6138461538462,100.03448184615384,25.153846153846153,203.20000000000002,98.22011384615385,26.53846153846154,1.0
33,34.0,25.0,27.0,202.0276923076923,99.96469846153846,25.692307692307693,203.00461538461542,102.0582,28.923076923076923,1.0
34,35.0,14.0,11.0,202.41846153846151,99.92980676923078,26.076923076923077,199.898,98.38410479999999,28.6,0.0
35,36.0,6.0,1.0,202.41846153846154,100.76720738461539,28.307692307692307,199.68307692307692,96.75466276923076,26.0,0.0
36,37.0,21.0,26.0,199.29230769230767,96.82444615384617,26.076923076923077,199.39000000000001,97.068688,24.75,0.0
37,38.0,8.0,10.0,202.61384615384617,100.38339876923077,25.0,201.24615384615385,98.53413907692308,27.46153846153846,1.0
38,39.0,13.0,11.0,200.26923076923077,98.11543876923078,28.846153846153847,199.898,98.38410479999999,28.6,1.0
39,40.0,2.0,22.0,199.39000000000001,101.86920333333335,25.5,201.63692307692307,97.24314646153847,25.46153846153846,0.0
40,41.0,28.0,4.0,199.48769230769233,100.90677415384617,27.53846153846154,200.0738461538462,98.0456553846154,26.923076923076923,1.0
41,42.0,17.0,20.0,201.6369230769231,101.1859076923077,26.615384615384617,201.92999999999998,100.73522333333334,24.666666666666668,1.0
